2017-07-28 16:18:13,157 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,178 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,179 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,180 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,180 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,181 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,181 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,182 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,182 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,183 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,183 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,184 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,184 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,185 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,186 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,186 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,186 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,187 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,187 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,188 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,188 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,189 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,189 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,191 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,191 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,192 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,194 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,195 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,197 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,198 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,198 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,199 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,199 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,200 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,200 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,201 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,201 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,201 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,202 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,203 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,203 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,204 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,204 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,205 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,205 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,206 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,208 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,210 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,213 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,215 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,215 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,216 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,216 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,217 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,217 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,218 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,218 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,219 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,219 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,220 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,220 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
2017-07-28 16:18:13,221 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_search`.`id`, `shop_search`.`name` FROM `shop_search` LIMIT 21; args=()
2017-07-28 16:18:13,221 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_navtags`.`id`, `shop_navtags`.`TagName`, `shop_navtags`.`TagImg` FROM `shop_navtags` LIMIT 21; args=()
2017-07-28 16:18:13,222 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 4; args=()
2017-07-28 16:18:13,222 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_shopsales`.`id`, `shop_shopsales`.`saleName`, `shop_shopsales`.`saleDese`, `shop_shopsales`.`salePrice`, `shop_shopsales`.`saleImg`, `shop_shopsales`.`index` FROM `shop_shopsales` LIMIT 4 OFFSET 9; args=()
2017-07-28 16:18:13,223 [Thread-3:140103913568000] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `shop_servercontent`.`id`, `shop_servercontent`.`img_url`, `shop_servercontent`.`title` FROM `shop_servercontent` LIMIT 21; args=()
